frame,t,dt,tx,ty,tz,qw,qx,qy,qz
129,3.9090910,0.0303030,0.0678606,0.0037305,0.0013622,0.9995729,-0.0002507,-0.0100298,0.0274474
130,3.9393940,0.0303030,0.0683033,0.0037281,0.0013630,0.9995788,-0.0002464,-0.0099724,0.0272541
131,3.9696970,0.0303030,0.0689421,0.0036757,0.0013457,0.9995980,-0.0002377,-0.0097542,0.0266227
132,4.0000000,0.0303030,0.0697524,0.0035779,0.0013117,0.9996276,-0.0002252,-0.0093977,0.0256172
133,4.0303030,0.0303030,0.0706735,0.0034670,0.0012721,0.9996592,-0.0002117,-0.0089974,0.0245038
134,4.0606060,0.0303030,0.0715177,0.0034951,0.0012817,0.9996619,-0.0002071,-0.0089576,0.0244111
135,4.0909090,0.0303030,0.0722993,0.0035346,0.0012953,0.9996617,-0.0002037,-0.0089543,0.0244163
136,4.1212120,0.0303030,0.0730313,0.0035869,0.0013139,0.9996586,-0.0002015,-0.0089914,0.0245295
137,4.1515155,0.0303030,0.0737321,0.0036522,0.0013375,0.9996528,-0.0002001,-0.0090650,0.0247399
138,4.1818185,0.0303030,0.0744260,0.0037307,0.0013657,0.9996445,-0.0001995,-0.0091708,0.0250345
139,4.2121215,0.0303030,0.0751441,0.0038229,0.0013995,0.9996338,-0.0001995,-0.0093067,0.0254072
140,4.2424245,0.0303030,0.0759302,0.0039280,0.0014382,0.9996214,-0.0001997,-0.0094652,0.0258359
141,4.2727275,0.0303030,0.0768406,0.0040435,0.0014809,0.9996083,-0.0001997,-0.0096308,0.0262775
142,4.3030305,0.0303030,0.0779434,0.0041613,0.0015252,0.9995967,-0.0001989,-0.0097781,0.0266612
143,4.3333335,0.0303030,0.0793216,0.0042704,0.0015668,0.9995899,-0.0001963,-0.0098697,0.0268839
144,4.3636365,0.0303030,0.0810670,0.0043545,0.0015998,0.9995915,-0.0001910,-0.0098609,0.0268240
145,4.3939395,0.0303030,0.0832734,0.0043942,0.0016172,0.9996057,-0.0001821,-0.0097035,0.0263509
146,4.4242425,0.0303030,0.0860261,0.0043577,0.0016071,0.9996364,-0.0001688,-0.0093359,0.0252994
147,4.4545455,0.0303030,0.0893752,0.0041914,0.0015501,0.9996880,-0.0001500,-0.0086663,0.0234245
148,4.4848485,0.0303030,0.0927288,0.0039531,0.0014625,0.9997422,-0.0001307,-0.0078823,0.0212972
149,4.5151515,0.0303030,0.0958900,0.0037048,0.0013704,0.9997882,-0.0001136,-0.0071426,0.0193047
150,4.5454545,0.0303030,0.0988050,0.0034813,0.0012868,0.9998237,-0.0000998,-0.0065109,0.0176076
151,4.5757575,0.0303030,0.1014332,0.0032823,0.0012123,0.9998513,-0.0000886,-0.0059756,0.0161731
152,4.6060610,0.0303030,0.1037369,0.0031073,0.0011467,0.9998709,0.0018870,-0.0054960,0.0149809
153,4.6363640,0.0303030,0.1056885,0.0029584,0.0010771,0.9998629,0.0072505,-0.0049927,0.0140278
154,4.6666670,0.0303030,0.1072666,0.0028411,0.0009862,0.9998821,0.0062875,-0.0045115,0.0132669
155,4.6969700,0.0303030,0.1084565,0.0027393,0.0009105,0.9998972,0.0053637,-0.0041282,0.0126476
156,4.7272730,0.0303030,0.1092478,0.0026530,0.0008483,0.9999087,0.0044884,-0.0038267,0.0121565
157,4.7575760,0.0303030,0.1096373,0.0025811,0.0007978,0.9999174,0.0036675,-0.0035942,0.0117813
158,4.7878790,0.0303030,0.1096269,0.0025224,0.0007576,0.9999237,0.0029045,-0.0034205,0.0115122
159,4.8181820,0.0303030,0.1092237,0.0024760,0.0007258,0.9999279,0.0021997,-0.0032977,0.0113405
160,4.8484850,0.0303030,0.1084387,0.0024411,0.0007022,0.9999303,0.0015512,-0.0032196,0.0112597
161,4.8787880,0.0303030,0.1072877,0.0024170,0.0006852,0.9999310,0.0009542,-0.0031818,0.0112648
162,4.9090910,0.0303030,0.1057909,0.0024022,0.0006743,0.9999304,0.0004022,-0.0031814,0.0113526
163,4.9393940,0.0303030,0.1039705,0.0023962,0.0006688,0.9999285,-0.0001122,-0.0032167,0.0115215
164,4.9696970,0.0303030,0.1018536,0.0023988,0.0006683,0.9999251,-0.0005959,-0.0032873,0.0117716
165,5.0000000,0.0303030,0.0994693,0.0024094,0.0006729,0.9999205,-0.0010538,-0.0033938,0.0121042
166,5.0303030,0.0303030,0.0968511,0.0024272,0.0006817,0.9999143,-0.0014875,-0.0035376,0.0125218
167,5.0606060,0.0303030,0.0940332,0.0024519,0.0006954,0.9999065,-0.0018934,-0.0037207,0.0130270
168,5.0909090,0.0303030,0.0913740,0.0022817,0.0006559,0.9998726,0.0092860,-0.0034722,0.0125144
169,5.1212125,0.0303030,0.0889410,0.0020200,0.0005400,0.9998137,0.0153139,-0.0028605,0.0113981
170,5.1515155,0.0303030,0.0866498,0.0017618,0.0004130,0.9998282,0.0153149,-0.0022263,0.0102000
171,5.1818185,0.0303030,0.0844336,0.0015145,0.0003055,0.9998528,0.0145178,-0.0016779,0.0089922
172,5.2121215,0.0303030,0.0822437,0.0012865,0.0002196,0.9998809,0.0132413,-0.0012314,0.0078374
173,5.2424245,0.0303030,0.0800474,0.0010829,0.0001542,0.9999077,0.0117447,-0.0008831,0.0067733
174,5.2727275,0.0303030,0.0778251,0.0009043,0.0001055,0.9999307,0.0102177,-0.0006193,0.0058169
175,5.3030305,0.0303030,0.0755674,0.0007507,0.0000705,0.9999490,0.0087872,-0.0004230,0.0049697
176,5.3333335,0.0303030,0.0732758,0.0006189,0.0000454,0.9999627,0.0075294,-0.0002782,0.0042216
177,5.3636365,0.0303030,0.0709558,0.0005045,0.0000275,0.9999727,0.0064832,-0.0001714,0.0035563
178,5.3939395,0.0303030,0.0686197,0.0004052,0.0000150,0.9999796,0.0056638,-0.0000920,0.0029524
179,5.4242425,0.0303030,0.0662947,0.0003315,0.0000067,0.9999881,0.0041760,-0.0000401,0.0025032
